,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TIME_TO_FS,TYP_VOIE
0,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12323,12320,,12335,12340,FALSE,1010001,,Montréal,Montréal,45.51897292,-73.74081689,Adhémar-Mailhiot,0,0.082143836,avenue
1,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12323,12320,,12335,12340,FALSE,1010001,,Montréal,Montréal,45.51970333,-73.7419541,Adhémar-Mailhiot,0,0.07934776,avenue
2,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5475,5530,,5625,5570,FALSE,1010004,,Montréal,Montréal,45.52764649,-73.7062353,D'Aiguillon,0,0.034988685,place
25,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5475,5530,,5625,5570,FALSE,1010004,,Montréal,Montréal,45.52699117,-73.705217,D'Aiguillon,0,0.031819583,place
26,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,7745,7750,,7805,7830,FALSE,1010005,,Montréal,Montréal,45.52446169,-73.73715005,Albert-LeSage,0,0.080501793,avenue
29,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,7745,7750,,7805,7830,FALSE,1010005,,Montréal,Montréal,45.52308512,-73.73887526,Albert-LeSage,0,0.084660948,avenue
30,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,12200,,0,12238,FALSE,1010006,,Montréal,Montréal,45.52119085,-73.73586908,Albert-Prévost,0,0.086604513,avenue
33,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,12200,,0,12238,FALSE,1010006,,Montréal,Montréal,45.52165825,-73.73660761,Albert-Prévost,0,0.085412312,avenue
36,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,12240,,0,12270,FALSE,1010007,,Montréal,Montréal,45.52210635,-73.73733001,Albert-Prévost,0,0.085360665,avenue
39,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,12272,,0,12310,FALSE,1010008,,Montréal,Montréal,45.52267219,-73.73822563,Albert-Prévost,0,0.083174473,avenue
51,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12435,12420,,12445,12510,FALSE,1010010,,Montréal,Montréal,45.52375343,-73.73921249,Albert-Prévost,0,0.086227282,avenue
55,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6941,0,,6983,0,FALSE,1010016,,Montréal,Montréal,45.52414462,-73.72728544,Alfred-De Vigny,0,0.074227204,avenue
60,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6941,0,,6983,0,FALSE,1010016,,Montréal,Montréal,45.52361687,-73.72789362,Alfred-De Vigny,0,0.076163259,avenue
71,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6985,7100,,7153,7164,FALSE,1010017,,Montréal,Montréal,45.52238378,-73.72747766,Alfred-De Vigny,0,0.080884138,avenue
72,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5,2,,25,20,FALSE,1010029,de l',Montréal,Montréal,45.51081497,-73.75283298,Alliance,0,0.054646978,avenue
