,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,DIST_TO_FS,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TYP_VOIE
0,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12323,12320,,3.780314172,12335,12340,FALSE,1010001,,Montréal,Montréal,45.51897292,-73.74081689,Adhémar-Mailhiot,0,avenue
1,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12323,12320,,3.898303889,12335,12340,FALSE,1010001,,Montréal,Montréal,45.51970333,-73.7419541,Adhémar-Mailhiot,0,avenue
2,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5475,5530,,1.394356955,5625,5570,FALSE,1010004,,Montréal,Montréal,45.52764649,-73.7062353,D'Aiguillon,0,place
25,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5475,5530,,1.286607467,5625,5570,FALSE,1010004,,Montréal,Montréal,45.52699117,-73.705217,D'Aiguillon,0,place
26,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,7745,7750,,3.356019947,7805,7830,FALSE,1010005,,Montréal,Montréal,45.52446169,-73.73715005,Albert-LeSage,0,avenue
29,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,7745,7750,,3.547927169,7805,7830,FALSE,1010005,,Montréal,Montréal,45.52308512,-73.73887526,Albert-LeSage,0,avenue
30,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,12200,,3.254134492,0,12238,FALSE,1010006,,Montréal,Montréal,45.52119085,-73.73586908,Albert-Prévost,0,avenue
33,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,12200,,3.331707757,0,12238,FALSE,1010006,,Montréal,Montréal,45.52165825,-73.73660761,Albert-Prévost,0,avenue
36,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,12240,,3.406898985,0,12270,FALSE,1010007,,Montréal,Montréal,45.52210635,-73.73733001,Albert-Prévost,0,avenue
39,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,12272,,3.479549331,0,12310,FALSE,1010008,,Montréal,Montréal,45.52267219,-73.73822563,Albert-Prévost,0,avenue
51,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12435,12420,,3.590765014,12445,12510,FALSE,1010010,,Montréal,Montréal,45.52375343,-73.73921249,Albert-Prévost,0,avenue
55,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6941,0,,3.027094554,6983,0,FALSE,1010016,,Montréal,Montréal,45.52414462,-73.72728544,Alfred-De Vigny,0,avenue
60,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6941,0,,3.102600677,6983,0,FALSE,1010016,,Montréal,Montréal,45.52361687,-73.72789362,Alfred-De Vigny,0,avenue
71,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6985,7100,,3.087884878,7153,7164,FALSE,1010017,,Montréal,Montréal,45.52238378,-73.72747766,Alfred-De Vigny,0,avenue
72,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5,2,,2.748987502,25,20,FALSE,1010029,de l',Montréal,Montréal,45.51081497,-73.75283298,Alliance,0,avenue
81,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12251,12270,,3.622631886,12271,12272,FALSE,1010030,,Montréal,Montréal,45.51902274,-73.73941276,Antoine-Berthelet,0,avenue
84,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12251,12270,,3.702319951,12271,12272,FALSE,1010030,,Montréal,Montréal,45.51950625,-73.74016726,Antoine-Berthelet,0,avenue
87,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12273,12280,,3.820479176,12311,12300,FALSE,1010031,,Montréal,Montréal,45.52022327,-73.7412859,Antoine-Berthelet,0,avenue
110,Ahuntsic-Cartierville,Ahuntsic-Cartierville,8,0,0,,0.611620758,0,0,FALSE,1010046,,Montréal,Montréal,45.5366608,-73.70327139,15,-1,autoroute
123,Ahuntsic-Cartierville,Ahuntsic-Cartierville,8,0,0,,0.523570061,0,0,FALSE,1010046,,Montréal,Montréal,45.53737947,-73.70624024,15,-1,autoroute
124,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,11899,11950,,3.913184089,11955,11960,FALSE,1010052,du,Montréal,Montréal,45.51787227,-73.73209196,Beau-Bois,0,avenue
131,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,11899,11950,,3.680268793,11955,11960,FALSE,1010052,du,Montréal,Montréal,45.51848923,-73.73435774,Beau-Bois,0,avenue
132,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12021,11980,,3.663956042,12091,12090,FALSE,1010055,du,Montréal,Montréal,45.51858882,-73.73451139,Beau-Bois,0,avenue
139,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12021,11980,,3.445134668,12091,12090,FALSE,1010055,du,Montréal,Montréal,45.52002734,-73.73554991,Beau-Bois,0,avenue
142,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12191,0,,3.193454111,12191,0,FALSE,1010059,de,Montréal,Montréal,45.52361831,-73.73238232,Beauséjour,0,rue
146,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12201,12212,,3.23645495,12241,12232,FALSE,1010060,de,Montréal,Montréal,45.52412681,-73.73318911,Beauséjour,0,rue
149,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12243,12242,,3.161417713,12271,12262,FALSE,1010061,de,Montréal,Montréal,45.52457607,-73.73390739,Beauséjour,0,rue
152,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12273,12272,,3.092225461,12287,12292,FALSE,1010062,de,Montréal,Montréal,45.52500474,-73.73454651,Beauséjour,0,rue
156,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12325,12320,,3.177138036,12345,12340,FALSE,1010063,de,Montréal,Montréal,45.52552676,-73.73533709,Beauséjour,0,rue
167,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12365,12360,,3.342678564,12455,12440,FALSE,1010064,de,Montréal,Montréal,45.52528963,-73.73688276,Beauséjour,0,rue
170,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12457,12460,,3.407337551,12475,12462,FALSE,1010066,de,Montréal,Montréal,45.52477072,-73.73763901,Beauséjour,0,rue
173,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,7527,7522,,3.195494242,7537,7532,FALSE,1010068,,Montréal,Montréal,45.52342699,-73.73407929,De Bécancour,0,rue
174,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,7723,7722,,3.134416585,7805,7800,FALSE,1010069,,Montréal,Montréal,45.52293555,-73.73482519,De Bécancour,0,rue
190,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5411,5460,,1.527119049,5487,5462,FALSE,1010074,du,Montréal,Montréal,45.53578121,-73.71837799,Bocage,0,rue
193,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5411,5460,,1.596496036,5487,5462,FALSE,1010074,du,Montréal,Montréal,45.53520856,-73.71908062,Bocage,0,rue
194,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,0,,1.636013237,0,0,FALSE,1010075,du,Montréal,Montréal,45.53449043,-73.71945807,Bocage,-1,rue
197,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,0,0,,1.711093885,0,0,FALSE,1010075,du,Montréal,Montréal,45.53390623,-73.72017851,Bocage,-1,rue
200,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5781,0,,1.776390252,5789,0,FALSE,1010076,du,Montréal,Montréal,45.53331907,-73.72093491,Bocage,-1,rue
202,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5835,5830,,1.83265006,5837,5832,FALSE,1010077,du,Montréal,Montréal,45.53273307,-73.72168923,Bocage,-1,rue
203,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5855,5860,,1.92265209,5877,5876,FALSE,1010078,du,Montréal,Montréal,45.53213643,-73.72246949,Bocage,-1,rue
205,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5975,0,,1.980153059,6035,0,FALSE,1010079,du,Montréal,Montréal,45.53140642,-73.72335887,Bocage,0,rue
206,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6501,6504,,2.442983032,6545,6560,FALSE,1010087,,Montréal,Montréal,45.5276297,-73.72402654,Bruton,0,chemin
209,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6501,6504,,2.614516038,6545,6560,FALSE,1010087,,Montréal,Montréal,45.52648023,-73.725494,Bruton,0,chemin
211,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12175,12140,,2.770717125,12245,12250,FALSE,1010088,,Montréal,Montréal,45.50969308,-73.75259244,Camille,0,rue
212,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6015,6030,,1.903808061,6063,6060,FALSE,1010103,,Montréal,Montréal,45.53080447,-73.72110393,Chevalier,-1,rue
230,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6015,6030,,1.978039414,6063,6060,FALSE,1010103,,Montréal,Montréal,45.53029546,-73.72266551,Chevalier,-1,rue
231,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12213,12204,,3.119716043,12233,12226,FALSE,1010139,,Montréal,Montréal,45.52296757,-73.73336176,La Corne,0,rue
238,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6575,6594,,2.369576378,6685,6670,FALSE,1010141,,Montréal,Montréal,45.52832518,-73.72681938,Cossette,0,rue
270,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6575,6594,,2.610578136,6685,6670,FALSE,1010141,,Montréal,Montréal,45.5271711,-73.72803142,Cossette,0,rue
271,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12181,12216,,2.444444325,12295,12296,FALSE,1010147,,Montréal,Montréal,45.52727176,-73.72139106,Cousineau,0,rue
280,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12181,12216,,2.14073144,12295,12296,FALSE,1010147,,Montréal,Montréal,45.52918644,-73.72415341,Cousineau,0,rue
281,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12329,0,,2.214407668,12491,0,FALSE,1010150,,Montréal,Montréal,45.52889802,-73.72500385,Crevier,0,rue
285,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12017,12032,,0.136808956,12143,12142,FALSE,1010151,,Montréal,Montréal,45.53528707,-73.70459337,Daigle,0,rue
304,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12017,12032,,0.3989777,12143,12142,FALSE,1010151,,Montréal,Montréal,45.5368951,-73.70641643,Daigle,0,rue
319,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12145,12150,,0.529982699,12199,12174,FALSE,1010154,,Montréal,Montréal,45.53714973,-73.7083119,Daigle,0,rue
322,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,11475,11500,,0.796606552,11605,11700,FALSE,1010159,,Montréal,Montréal,45.52952548,-73.6994946,Dépatie,0,rue
325,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,11755,11760,,0.472192211,11847,11848,FALSE,1010160,,Montréal,Montréal,45.53147671,-73.7025891,Dépatie,1,rue
328,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,11857,11852,,0.168590942,11995,11980,FALSE,1010161,,Montréal,Montréal,45.53341498,-73.70566895,Dépatie,1,rue
331,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12025,12010,,0.263495483,12027,12040,FALSE,1010162,,Montréal,Montréal,45.53399266,-73.70658413,Dépatie,1,rue
336,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12225,12226,,0.739214728,12295,12304,FALSE,1010164,,Montréal,Montréal,45.53625711,-73.71017749,Dépatie,0,rue
339,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12225,12226,,0.931374896,12295,12304,FALSE,1010164,,Montréal,Montréal,45.53743291,-73.7121133,Dépatie,0,rue
340,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,4225,4220,,0.637587055,4387,4382,FALSE,1010175,,Montréal,Montréal,45.53059264,-73.69813627,Dudemaine,0,rue
343,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,4225,4220,,0.717042552,4387,4382,FALSE,1010175,,Montréal,Montréal,45.53005951,-73.69881495,Dudemaine,0,rue
348,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,4655,4670,,0.86998675,4795,4790,FALSE,1010177,,Montréal,Montréal,45.52903139,-73.7001186,Dudemaine,0,rue
351,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,4805,4820,,0.94816632,4975,4822,FALSE,1010178,,Montréal,Montréal,45.52850553,-73.70078429,Dudemaine,0,rue
354,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,5095,5002,,1.024589743,5097,5090,FALSE,1010179,,Montréal,Montréal,45.52799199,-73.70143584,Dudemaine,0,rue
357,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,0,5100,,1.100582713,0,5200,FALSE,1010180,,Montréal,Montréal,45.52746253,-73.70210275,Dudemaine,0,rue
360,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,5215,5250,,1.296676497,5353,5370,FALSE,1010181,,Montréal,Montréal,45.5261004,-73.70382245,Dudemaine,0,rue
374,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,5505,5372,,1.466794787,5685,5550,FALSE,1010182,,Montréal,Montréal,45.5249316,-73.70600556,Dudemaine,0,rue
377,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,5715,0,,1.51069163,5735,0,FALSE,1010184,,Montréal,Montréal,45.52460831,-73.70689919,Dudemaine,0,rue
381,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,4075,0,,0.666504683,4095,0,FALSE,1010188,,Montréal,Montréal,45.53239173,-73.69812805,Duval,0,rue
391,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,4075,0,,0.596337154,4095,0,FALSE,1010188,,Montréal,Montréal,45.53186244,-73.69860925,Duval,0,rue
